source,target
Els Amics De Les Arts,indie catala
Els Amics De Les Arts,musica catalana
Els Amics De Les Arts,rock catala
Els Amics De Les Arts,spanish folk
Antònia Font,indie catala
Antònia Font,musica mallorquina
Antònia Font,rock catala
Mishima,indie catala
Mishima,rock catala
Els Pets,indie catala
Els Pets,rock catala
La iaia,indie catala
La iaia,rock catala
Guillem Gisbert,indie catala
Joan Miquel Oliver,cantautor
Joan Miquel Oliver,cantautor catala
Joan Miquel Oliver,indie catala
Joan Miquel Oliver,musica mallorquina
Joan Miquel Oliver,rock catala
Joan Dausà,cantautor catala
Joan Dausà,indie catala
Joan Dausà,rock catala
Gossos,rock catala
Blaumut,indie catala
Blaumut,rock catala
Pau Vallvé,cantautor catala
Pau Vallvé,indie catala
Pau Vallvé,rock catala
Sopa De Cabra,rock catala
Lax'n'Busto,rock catala
Sanjosex,cantautor
Sanjosex,indie catala
Sanjosex,rock catala
Els Catarres,rock catala
Ginestà,cantautor catala
Ginestà,indie catala
Ginestà,musica catalana
Ginestà,rock catala
Cesk Freixas,cantautor
Cesk Freixas,cantautor catala
Cesk Freixas,indie catala
Cesk Freixas,rock catala
El Petit De Cal Eril,cantautor catala
El Petit De Cal Eril,indie catala
El Petit De Cal Eril,rock catala
La Ludwig Band,indie catala
La Ludwig Band,rock catala
Oques Grasses,indie catala
Oques Grasses,musica catalana
Oques Grasses,reggae catala
Oques Grasses,rock catala
Figa Flawas,musica catalana
Flashy Ice Cream,rap catala
Flashy Ice Cream,trap catala
Julieta,musica catalana
Oques Grasses,indie catala
Oques Grasses,musica catalana
Oques Grasses,reggae catala
Oques Grasses,rock catala
Buhos,musica catalana
Buhos,rock catala
Stay Homas,musica catalana
La Fúmiga,indie valenciana
La Fúmiga,musica catalana
La Fúmiga,ska catala
Els Catarres,rock catala
Lildami,musica catalana
Lildami,rap catala
Lildami,rock catala
Lildami,trap catala
31 FAM,rap catala
31 FAM,trap catala
Ginestà,cantautor catala
Ginestà,indie catala
Ginestà,musica catalana
Ginestà,rock catala
Doctor Prats,mestissatge
Doctor Prats,musica catalana
Doctor Prats,rock catala
Joan Dausà,cantautor catala
Joan Dausà,indie catala
Joan Dausà,rock catala
Triquell,musica catalana
Sexenni,musica catalana
Els Amics De Les Arts,indie catala
Els Amics De Les Arts,musica catalana
Els Amics De Les Arts,rock catala
Els Amics De Les Arts,spanish folk
Txarango,indie catala
Txarango,mestissatge
Txarango,rock catala
Suu,mestissatge
Suu,musica catalana
Suu,reggae catala
Suu,rock catala
Ven'nus,indie catala
Ven'nus,musica catalana
Al·lèrgiques al pol·len,indie catala
Al·lèrgiques al pol·len,musica catalana
Maio,musica catalana
Jo Jet i Maria Ribot,indie catala
Jo Jet i Maria Ribot,rock catala
Socunbohemio,indie catala
Ariox,indie catala
Ariox,musica catalana
xicu,indie catala
xicu,musica catalana
MARIA HEIN,indie catala
Maria Jaume,indie catala
Maria Jaume,rock catala
Julieta,musica catalana
Roba Estesa,indie catala
Roba Estesa,musica catalana
Roba Estesa,rock catala
Xavi Sarrià,cantautor catala
Xavi Sarrià,musica valenciana
Xavi Sarrià,rock catala
